Ratio
899.1000
320.6667
212.9000
162.9000
150.8000
150.4000
147.0250
127.4000
120.3077
113.8000
105.5000
102.4333
101.5000
97.4000
86.4935
82.1000
80.9000
74.8000
66.4444
65.1748
62.8000
61.1000
59.2000
59.2000
58.6000
55.9000
55.4667
51.1000
50.9000
44.4500
44.4000
41.2000
37.5000
37.0968
36.4250
35.8667
34.7000
34.1800
33.6000
33.2000
32.3457
31.9000
29.0500
27.6000
25.8247
24.1500
20.9000
20.5294
18.5809
17.8526
17.2000
16.9647
16.8000
16.3846
16.0455
15.5388
15.2902
14.8932
14.7647
14.6420
14.6400
13.7895
13.6552
13.6538
13.5625
13.5593
13.4676
13.4203
13.2353
13.2059
13.1111
12.9613
12.7424
12.4416
12.3358
11.5664
11.4523
11.4211
10.9800
10.5676
10.5294
10.5119
10.1042
10.0446
10.0000
9.9890
9.8723
9.8485
9.8125
9.8049
9.7059
9.6957
9.4602
9.4528
9.4211
9.3103
9.1765
9.1429
9.1296
8.9722
8.9636
8.9600
8.9557
8.6493
8.4444
8.4367
8.3681
8.2593
8.1720
8.1604
8.0308
7.9778
7.9332
7.9200
7.8378
7.8000
7.5769
7.5494
7.5208
7.3857
7.2727
7.1944
7.1154
7.1020
7.0238
6.9825
6.9091
6.8718
6.7838
6.7133
6.6358
6.5976
6.5500
6.5137
6.4355
6.3571
6.3158
6.2553
6.2323
6.2286
6.1556
6.1458
6.1406
6.0909
6.0660
6.0588
6.0556
6.0306
5.9773
5.9437
5.9105
5.8627
5.8427
5.8333
5.8010
5.7727
5.7627
5.7255
5.6120
5.5842
5.5526
5.5524
5.5361
5.5238
5.5235
5.4857
5.3556
5.3448
5.3375
5.3250
5.3228
5.1832
5.1373
5.1132
5.0888
5.0781
5.0400
4.9545
4.9048
4.8889
4.8889
4.8403
4.8387
4.8182
4.8075
4.7643
4.7632
4.7425
4.7206
4.7071
4.6889
4.6506
4.6440
4.6090
4.5938
4.5455
4.5428
4.5415
4.3906
4.3636
4.3576
4.3158
4.3148
4.3068
4.2750
4.2632
4.2105
4.1972
4.1515
4.1468
4.1064
4.1039
4.0822
4.0658
4.0571
4.0526
4.0505
4.0492
3.9898
3.9857
3.9722
3.9667
3.9552
3.9528
3.9375
3.9178
3.9146
3.8889
3.8857
3.8549
3.8372
3.8262
3.8249
3.8140
3.7755
3.7547
3.7212
3.7193
3.7184
3.7148
3.7111
3.7059
3.6923
3.6806
3.6779
3.6710
3.6604
3.6581
3.6571
3.6346
3.6167
3.5972
3.5645
3.5000
3.4821
3.4769
3.4646
3.4573
3.4286
3.4182
3.3846
3.3790
3.3699
3.3600
3.3542
3.3529
3.3492
3.3472
3.3333
3.3085
3.2903
3.2857
3.2830
3.2596
3.2432
3.2360
3.2197
3.2143
3.2138
3.2083
3.2075
3.1556
3.1453
3.1408
3.1315
3.1091
3.0625
3.0580
3.0479
3.0476
3.0462
3.0461
3.0240
3.0233
3.0220
3.0152
3.0000
2.9891
2.9844
2.9831
2.9808
2.9782
2.9399
2.9340
2.9268
2.9245
2.9020
2.8966
2.8824
2.8737
2.8515
2.8475
2.8465
2.8169
2.7927
2.7903
2.7771
2.7584
2.7514
2.7436
2.7314
2.7197
2.7018
2.6955
2.6711
2.6698
2.6567
2.6486
2.6433
2.6318
2.6089
2.6066
2.5976
2.5950
2.5906
2.5890
2.5867
2.5810
2.5522
2.5217
2.5050
2.4979
2.4968
2.4965
2.4959
2.4935
2.4872
2.4809
2.4756
2.4692
2.4676
2.4493
2.4340
2.4263
2.4255
2.4196
2.4167
2.4129
2.4104
2.3875
2.3866
2.3793
2.3770
2.3767
2.3682
2.3609
2.3571
2.3537
2.3528
2.3399
2.3375
2.3333
2.3304
2.3182
2.2955
2.2860
2.2813
2.2803
2.2618
2.2609
2.2362
2.2214
2.2174
2.2099
2.2059
2.2047
2.1942
2.1928
2.1824
2.1786
2.1744
2.1739
2.1710
2.1671
2.1640
2.1600
2.1488
2.1452
2.1400
2.1395
2.1367
2.1357
2.1278
2.1149
2.1119
2.1111
2.1083
2.1000
2.0942
2.0812
2.0776
2.0746
2.0739
2.0733
2.0721
2.0656
2.0625
2.0508
2.0477
2.0442
2.0400
2.0364
2.0345
2.0308
2.0263
2.0242
2.0238
2.0233
2.0115
2.0114
2.0101
2.0000
2.0000
1.9775
1.9750
1.9738
1.9717
1.9571
1.9537
1.9400
1.9386
1.9360
1.9355
1.9333
1.9279
1.9091
1.9080
1.8891
1.8885
1.8769
1.8630
1.8587
1.8528
1.8519
1.8427
1.8364
1.8218
1.8214
1.8182
1.8171
1.8092
1.8072
1.8028
1.8022
1.8000
1.7945
1.7863
1.7838
1.7818
1.7778
1.7683
1.7568
1.7412
1.7394
1.7361
1.7313
1.7297
1.7167
1.7116
1.6992
1.6923
1.6880
1.6863
1.6842
1.6840
1.6674
1.6624
1.6607
1.6567
1.6509
1.6471
1.6378
1.6377
1.6341
1.6329
1.6312
1.6267
1.6250
1.6239
1.6216
1.6149
1.6141
1.6140
1.6090
1.5981
1.5974
1.5882
1.5858
1.5827
1.5821
1.5802
1.5703
1.5699
1.5632
1.5588
1.5588
1.5571
1.5565
1.5543
1.5541
1.5538
1.5426
1.5340
1.5336
1.5313
1.5310
1.5304
1.5294
1.5286
1.5248
1.5210
1.5152
1.5140
1.5114
1.5102
1.5065
1.5052
1.5033
1.5000
1.4991
1.4942
1.4941
1.4932
1.4885
1.4880
1.4855
1.4842
1.4805
1.4800
1.4785
1.4751
1.4741
1.4730
1.4724
1.4693
1.4689
1.4646
1.4633
1.4579
1.4561
1.4519
1.4509
1.4506
1.4412
1.4392
1.4384
1.4373
1.4359
1.4273
1.4250
1.4202
1.4139
1.4103
1.4000
1.4000
1.3980
1.3961
1.3922
1.3780
1.3762
1.3738
1.3725
1.3704
1.3691
1.3684
1.3684
1.3680
1.3613
1.3603
1.3587
1.3540
1.3540
1.3512
1.3483
1.3426
1.3375
1.3373
1.3347
1.3298
1.3281
1.3275
1.3260
1.3256
1.3251
1.3219
1.3191
1.3161
1.3140
1.3010
1.2996
1.2923
1.2906
1.2905
1.2846
1.2787
1.2764
1.2752
1.2721
1.2703
1.2694
1.2632
1.2601
1.2581
1.2566
1.2560
1.2548
1.2528
1.2466
1.2466
1.2449
1.2436
1.2423
1.2418
1.2405
1.2350
1.2307
1.2296
1.2289
1.2270
1.2225
1.2211
1.2184
1.2183
1.2174
1.2153
1.2150
1.2145
1.2136
1.2079
1.2026
1.1947
1.1886
1.1879
1.1854
1.1824
1.1821
1.1757
1.1727
1.1720
1.1715
1.1709
1.1705
1.1702
1.1639
1.1636
1.1615
1.1598
1.1582
1.1557
1.1550
1.1538
1.1517
1.1507
1.1488
1.1477
1.1456
1.1429
1.1416
1.1405
1.1404
1.1386
