Name,Country,profit_in_dollars
"China Three Gorges Renewables (Group)",China,999700000000
"Atmos Energy","United States",999100000000
Corpay,"United States",997000000000
"Takeda Pharmaceutical",Japan,996300000000
"CBRE Group","United States",995100000000
"Aristocrat Leisure",Australia,994400000000
MTR,"Hong Kong",994300000000
"SDIC Power Holdings",China,993800000000
Givaudan,Switzerland,993700000000
NASDAQ,"United States",992000000000
