Name,Revenue,Market_Cap
"Freddie Mac",110500000000,962000000000
"Shengjing Bank",5700000000,936000000000
BayWa,24800000000,932000000000
"Japan Securities",346000000000,907000000000
"Berkshire Hathaway",369000000000,899100000000
"Tokyo Kiraboshi Financial Group",840000000000,848000000000
"Aichi Financial Group",587000000000,838000000000
"Deutsche Pfandbriefbank",3100000000,837000000000
"Hertz Global Holdings",9400000000,786000000000
"Zheshang Development Group",28500000000,782000000000
