Name,Country,sales_in_dollars
"Rakuten Bank",Japan,948000000000
Samsara,"United States",937000000000
Segro,"United Kingdom",931000000000
"Kyoto Financial Group",Japan,918000000000
"77 Bank",Japan,905000000000
"North Pacific Bank",Japan,884000000000
"Juroku  Financial Group",Japan,870000000000
"Jiangxi Zhengbang Technology",China,857000000000
"Tokyo Kiraboshi Financial Group",Japan,840000000000
"SBI Sumishin Net Bank",Japan,819000000000
