Name,Country,market_value_in_dollars
"Freddie Mac","United States",962000000000
"Shengjing Bank",China,936000000000
BayWa,Germany,932000000000
"Japan Securities",Japan,907000000000
"Berkshire Hathaway","United States",899100000000
"Tokyo Kiraboshi Financial Group",Japan,848000000000
"Aichi Financial Group",Japan,838000000000
"Deutsche Pfandbriefbank",Germany,837000000000
"Hertz Global Holdings","United States",786000000000
"Zheshang Development Group",China,782000000000
